date,City Hall,Exchange Place,Hamilton Park,Sip Ave_x,Christ Hospital,Baldwin at Montgomery,Warren St,Newport PATH,Newark Ave,Brunswick St,Newport Pkwy,Bayside Park,Grove St PATH,Riverview Park,Essex Light Rail,Paulus Hook,Columbia Park,Heights Elevator,NJCU,MLK Light Rail,5 Corners Library,Dey St,Oakland Ave,Hilltop,Van Vorst Park,McGinley Square,Central Ave,JC Medical Center,North St,Lincoln Park,Liberty Light Rail,West Side Light Rail,Pershing Field,Garfield Ave Station,Union St,Jersey & 6th St,Morris Canal,Jersey & 3rd,Lafayette Park,Monmouth and 6th,Dixon Mills,Marin Light Rail,Manila & 1st,Columbus Drive,Bethune Center,Leonard Gordon Park,Danforth Light Rail,Brunswick & 6th,Astor Place,JCBS Depot,Communipaw & Berry Lane,York St,Harborside,Washington St,Journal Square,Montgomery St,Glenwood Ave,Fairmount Ave,Bergen Ave,Grand St,Jackson Square,Sip Ave_y,Hoboken Ave at Monmouth St,Columbus Dr at Exchange Pl
2015-09-21,35.0,29.0,16.0,20.0,1.0,2.0,12.0,20.0,18.0,8.0,8.0,1.0,32.0,5.0,6.0,14.0,1.0,5.0,5.0,1.0,3.0,1.0,2.0,3.0,6.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2015-09-22,28.0,64.0,39.0,35.0,8.0,7.0,23.0,27.0,25.0,30.0,19.0,2.0,66.0,9.0,26.0,11.0,2.0,4.0,4.0,0.0,7.0,6.0,5.0,11.0,28.0,18.0,4.0,14.0,3.0,12.0,9.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0
2015-09-23,21.0,60.0,46.0,43.0,12.0,6.0,29.0,46.0,42.0,31.0,34.0,2.0,71.0,9.0,25.0,34.0,2.0,8.0,1.0,0.0,5.0,10.0,9.0,19.0,41.0,21.0,3.0,10.0,5.0,9.0,11.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
2015-09-24,34.0,51.0,48.0,33.0,15.0,8.0,29.0,38.0,26.0,26.0,35.0,3.0,85.0,4.0,37.0,23.0,2.0,3.0,5.0,0.0,5.0,9.0,8.0,17.0,33.0,20.0,3.0,10.0,6.0,8.0,19.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
2015-09-25,25.0,46.0,51.0,53.0,15.0,10.0,30.0,35.0,40.0,35.0,26.0,1.0,65.0,7.0,28.0,36.0,0.0,7.0,2.0,0.0,11.0,13.0,9.0,7.0,35.0,20.0,1.0,15.0,4.0,11.0,13.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
2015-09-26,51.0,59.0,96.0,37.0,10.0,20.0,35.0,60.0,59.0,35.0,62.0,5.0,75.0,24.0,50.0,51.0,1.0,12.0,0.0,1.0,5.0,8.0,10.0,16.0,50.0,16.0,9.0,51.0,18.0,13.0,44.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2015-09-27,44.0,54.0,61.0,31.0,7.0,13.0,45.0,39.0,35.0,21.0,68.0,2.0,78.0,17.0,46.0,53.0,0.0,13.0,0.0,2.0,7.0,8.0,8.0,13.0,34.0,12.0,4.0,50.0,10.0,8.0,50.0,1.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2015-09-28,37.0,65.0,59.0,43.0,10.0,12.0,22.0,36.0,35.0,32.0,35.0,3.0,97.0,7.0,30.0,30.0,0.0,6.0,4.0,5.0,8.0,10.0,6.0,10.0,24.0,22.0,4.0,15.0,3.0,10.0,17.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
2015-09-29,26.0,60.0,67.0,51.0,12.0,11.0,30.0,50.0,22.0,27.0,21.0,1.0,91.0,8.0,32.0,27.0,0.0,4.0,4.0,2.0,6.0,8.0,17.0,8.0,21.0,21.0,8.0,14.0,4.0,11.0,9.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0
2015-09-30,15.0,50.0,47.0,41.0,9.0,8.0,23.0,43.0,33.0,26.0,28.0,1.0,71.0,9.0,21.0,20.0,1.0,3.0,4.0,0.0,4.0,7.0,11.0,10.0,26.0,13.0,5.0,3.0,5.0,10.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
2015-10-01,15.0,43.0,42.0,43.0,8.0,6.0,25.0,38.0,20.0,27.0,18.0,1.0,57.0,7.0,22.0,16.0,1.0,3.0,1.0,1.0,7.0,7.0,14.0,6.0,26.0,17.0,3.0,17.0,5.0,10.0,8.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0
2015-10-02,4.0,11.0,23.0,16.0,3.0,5.0,13.0,12.0,11.0,8.0,6.0,0.0,9.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.0,8.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
2015-10-03,7.0,25.0,18.0,19.0,9.0,3.0,17.0,21.0,18.0,16.0,17.0,0.0,24.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,9.0,7.0,3.0,5.0,2.0,3.0,6.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
2015-10-04,25.0,39.0,54.0,28.0,7.0,9.0,51.0,40.0,41.0,36.0,29.0,0.0,61.0,7.0,28.0,35.0,0.0,4.0,2.0,0.0,7.0,6.0,10.0,4.0,26.0,11.0,1.0,25.0,3.0,12.0,13.0,10.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
2015-10-05,27.0,55.0,44.0,42.0,11.0,16.0,27.0,54.0,25.0,35.0,24.0,0.0,103.0,10.0,35.0,31.0,0.0,3.0,4.0,0.0,14.0,7.0,15.0,13.0,29.0,21.0,5.0,14.0,4.0,10.0,10.0,2.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
2015-10-06,32.0,69.0,58.0,51.0,17.0,13.0,38.0,53.0,32.0,51.0,28.0,1.0,102.0,9.0,40.0,38.0,1.0,1.0,6.0,0.0,8.0,10.0,16.0,14.0,43.0,24.0,7.0,8.0,1.0,15.0,16.0,2.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0
2015-10-07,26.0,83.0,62.0,42.0,15.0,11.0,33.0,65.0,40.0,34.0,25.0,1.0,73.0,14.0,40.0,30.0,1.0,6.0,2.0,1.0,9.0,12.0,15.0,15.0,31.0,25.0,8.0,13.0,3.0,9.0,12.0,2.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
2015-10-08,31.0,72.0,48.0,56.0,11.0,8.0,41.0,51.0,49.0,39.0,34.0,1.0,77.0,6.0,38.0,30.0,0.0,5.0,2.0,1.0,11.0,10.0,14.0,11.0,37.0,16.0,3.0,14.0,5.0,11.0,14.0,1.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0
2015-10-09,15.0,38.0,45.0,41.0,9.0,9.0,19.0,31.0,21.0,32.0,16.0,1.0,48.0,4.0,37.0,24.0,1.0,5.0,2.0,0.0,6.0,8.0,14.0,11.0,30.0,20.0,4.0,9.0,0.0,10.0,11.0,1.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
2015-10-10,43.0,35.0,44.0,56.0,7.0,13.0,49.0,68.0,42.0,25.0,41.0,2.0,82.0,14.0,48.0,29.0,0.0,5.0,2.0,0.0,8.0,11.0,7.0,9.0,39.0,17.0,7.0,24.0,1.0,10.0,37.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0
2015-10-11,22.0,55.0,44.0,28.0,8.0,14.0,30.0,43.0,40.0,17.0,55.0,0.0,61.0,11.0,35.0,43.0,3.0,11.0,0.0,0.0,1.0,8.0,8.0,7.0,22.0,15.0,3.0,33.0,0.0,10.0,33.0,2.0,14.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
2015-10-12,26.0,68.0,51.0,45.0,16.0,11.0,27.0,52.0,35.0,35.0,43.0,0.0,69.0,8.0,38.0,20.0,0.0,10.0,5.0,0.0,9.0,10.0,9.0,10.0,35.0,21.0,5.0,23.0,6.0,11.0,28.0,4.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
