,year,st1,st2
8284,2019,5 Corners Library,12 Ave & W 40 St
8285,2019,5 Corners Library,5 Corners Library
8286,2019,5 Corners Library,Astor Place
8287,2019,5 Corners Library,Baldwin at Montgomery
8288,2019,5 Corners Library,Bergen Ave
8289,2019,5 Corners Library,Brunswick & 6th
8290,2019,5 Corners Library,Brunswick St
8291,2019,5 Corners Library,Christ Hospital
8292,2019,5 Corners Library,City Hall
8293,2019,5 Corners Library,Columbus Dr at Exchange Pl
8294,2019,5 Corners Library,Columbus Drive
8295,2019,5 Corners Library,Communipaw & Berry Lane
8296,2019,5 Corners Library,Dey St
8297,2019,5 Corners Library,Dixon Mills
8298,2019,5 Corners Library,Essex Light Rail
8299,2019,5 Corners Library,Exchange Place
8300,2019,5 Corners Library,Fairmount Ave
8301,2019,5 Corners Library,Glenwood Ave
8302,2019,5 Corners Library,Grand St
8303,2019,5 Corners Library,Grove St PATH
8304,2019,5 Corners Library,Hamilton Park
8305,2019,5 Corners Library,Harborside
8306,2019,5 Corners Library,Heights Elevator
8307,2019,5 Corners Library,Hilltop
8308,2019,5 Corners Library,Hoboken Ave at Monmouth St
8309,2019,5 Corners Library,JC Medical Center
8310,2019,5 Corners Library,JCBS Depot
8311,2019,5 Corners Library,Jackson Square
8312,2019,5 Corners Library,Jersey & 3rd
8313,2019,5 Corners Library,Jersey & 6th St
8314,2019,5 Corners Library,Journal Square
8315,2019,5 Corners Library,Lafayette Park
8316,2019,5 Corners Library,Leonard Gordon Park
8317,2019,5 Corners Library,Liberty Light Rail
8318,2019,5 Corners Library,Lincoln Park
8319,2019,5 Corners Library,Manila & 1st
8320,2019,5 Corners Library,Marin Light Rail
8321,2019,5 Corners Library,McGinley Square
8322,2019,5 Corners Library,Monmouth and 6th
8323,2019,5 Corners Library,Montgomery St
8324,2019,5 Corners Library,Morris Canal
8325,2019,5 Corners Library,Newark Ave
8326,2019,5 Corners Library,Newport PATH
8327,2019,5 Corners Library,Newport Pkwy
8328,2019,5 Corners Library,Oakland Ave
8329,2019,5 Corners Library,Paulus Hook
8330,2019,5 Corners Library,Pershing Field
8331,2019,5 Corners Library,Riverview Park
8332,2019,5 Corners Library,Sip Ave
8333,2019,5 Corners Library,Union St
8334,2019,5 Corners Library,Van Vorst Park
8335,2019,5 Corners Library,Warren St
8336,2019,5 Corners Library,Washington St
8337,2019,5 Corners Library,York St
8338,2019,Astor Place,5 Corners Library
8339,2019,Astor Place,Astor Place
8340,2019,Astor Place,Baldwin at Montgomery
8341,2019,Astor Place,Bergen Ave
8342,2019,Astor Place,Brunswick & 6th
