station,season,year,week,count
MLK Light Rail,summer,2015,39,1
Union St,autumn,2015,39,2
Bayside Park,summer,2015,39,3
Columbia Park,summer,2015,39,3
MLK Light Rail,autumn,2015,39,3
West Side Light Rail,summer,2015,39,4
Central Ave,summer,2015,39,5
Columbia Park,autumn,2015,39,5
North St,summer,2015,39,6
West Side Light Rail,autumn,2015,39,6
Dey St,summer,2015,39,7
Oakland Ave,summer,2015,39,7
NJCU,autumn,2015,39,8
Baldwin at Montgomery,summer,2015,39,9
Christ Hospital,summer,2015,39,9
Heights Elevator,summer,2015,39,9
NJCU,summer,2015,39,9
5 Corners Library,summer,2015,39,10
Liberty Light Rail,summer,2015,39,10
Bayside Park,autumn,2015,39,13
Garfield Ave Station,autumn,2015,39,14
Hilltop,summer,2015,39,14
Riverview Park,summer,2015,39,14
Lincoln Park,summer,2015,39,15
Pershing Field,summer,2015,39,15
JC Medical Center,summer,2015,39,16
Central Ave,autumn,2015,39,20
McGinley Square,summer,2015,39,21
Paulus Hook,summer,2015,39,25
Newport Pkwy,summer,2015,39,27
Essex Light Rail,summer,2015,39,32
5 Corners Library,autumn,2015,39,33
Van Vorst Park,summer,2015,39,34
Warren St,summer,2015,39,35
Brunswick St,summer,2015,39,38
Heights Elevator,autumn,2015,39,43
Newark Ave,summer,2015,39,43
North St,autumn,2015,39,43
Oakland Ave,autumn,2015,39,44
Newport PATH,summer,2015,39,47
Dey St,autumn,2015,39,48
Lincoln Park,autumn,2015,39,49
Hamilton Park,summer,2015,39,55
Sip Ave,summer,2015,39,55
Baldwin at Montgomery,autumn,2015,39,57
Christ Hospital,autumn,2015,39,59
Riverview Park,autumn,2015,39,61
City Hall,summer,2015,39,63
Hilltop,autumn,2015,39,72
Pershing Field,autumn,2015,39,75
McGinley Square,autumn,2015,39,89
Exchange Place,summer,2015,39,93
Grove St PATH,summer,2015,39,98
JC Medical Center,autumn,2015,39,136
Liberty Light Rail,autumn,2015,39,137
Brunswick St,autumn,2015,39,148
Warren St,autumn,2015,39,168
City Hall,autumn,2015,39,175
Essex Light Rail,autumn,2015,39,186
Van Vorst Park,autumn,2015,39,193
Paulus Hook,autumn,2015,39,197
Sip Ave,autumn,2015,39,197
Newark Ave,autumn,2015,39,202
Newport PATH,autumn,2015,39,218
Newport Pkwy,autumn,2015,39,225
Exchange Place,autumn,2015,39,270
Hamilton Park,autumn,2015,39,302
Grove St PATH,autumn,2015,39,374
Union St,autumn,2015,40,1
Columbia Park,autumn,2015,40,2
Bayside Park,autumn,2015,40,6
MLK Light Rail,autumn,2015,40,8
NJCU,autumn,2015,40,15
Garfield Ave Station,autumn,2015,40,17
Heights Elevator,autumn,2015,40,20
West Side Light Rail,autumn,2015,40,20
North St,autumn,2015,40,24
Central Ave,autumn,2015,40,26
5 Corners Library,autumn,2015,40,33
Dey St,autumn,2015,40,43
Hilltop,autumn,2015,40,43
Riverview Park,autumn,2015,40,43
Baldwin at Montgomery,autumn,2015,40,54
Liberty Light Rail,autumn,2015,40,55
Christ Hospital,autumn,2015,40,58
Lincoln Park,autumn,2015,40,59
Pershing Field,autumn,2015,40,62
Oakland Ave,autumn,2015,40,74
JC Medical Center,autumn,2015,40,81
McGinley Square,autumn,2015,40,99
City Hall,autumn,2015,40,129
Paulus Hook,autumn,2015,40,133
Van Vorst Park,autumn,2015,40,143
Newport Pkwy,autumn,2015,40,154
Essex Light Rail,autumn,2015,40,158
Brunswick St,autumn,2015,40,172
Newark Ave,autumn,2015,40,180
Warren St,autumn,2015,40,181
Newport PATH,autumn,2015,40,240
Sip Ave,autumn,2015,40,241
Exchange Place,autumn,2015,40,293
Hamilton Park,autumn,2015,40,310
Grove St PATH,autumn,2015,40,410
MLK Light Rail,autumn,2015,41,2
Bayside Park,autumn,2015,41,6
Columbia Park,autumn,2015,41,6
West Side Light Rail,autumn,2015,41,10
North St,autumn,2015,41,14
Union St,autumn,2015,41,14
NJCU,autumn,2015,41,18
Garfield Ave Station,autumn,2015,41,20
Heights Elevator,autumn,2015,41,36
Central Ave,autumn,2015,41,37
5 Corners Library,autumn,2015,41,57
Dey St,autumn,2015,41,66
Riverview Park,autumn,2015,41,68
Lincoln Park,autumn,2015,41,75
Christ Hospital,autumn,2015,41,78
Hilltop,autumn,2015,41,80
Baldwin at Montgomery,autumn,2015,41,84
Pershing Field,autumn,2015,41,87
Oakland Ave,autumn,2015,41,89
JC Medical Center,autumn,2015,41,115
Liberty Light Rail,autumn,2015,41,133
McGinley Square,autumn,2015,41,138
City Hall,autumn,2015,41,196
Newport Pkwy,autumn,2015,41,223
Paulus Hook,autumn,2015,41,225
Van Vorst Park,autumn,2015,41,231
Brunswick St,autumn,2015,41,233
Warren St,autumn,2015,41,237
Newark Ave,autumn,2015,41,249
Essex Light Rail,autumn,2015,41,273
Sip Ave,autumn,2015,41,316
Hamilton Park,autumn,2015,41,345
Newport PATH,autumn,2015,41,365
Exchange Place,autumn,2015,41,407
Grove St PATH,autumn,2015,41,546
Bayside Park,autumn,2015,42,6
Union St,autumn,2015,42,6
Columbia Park,autumn,2015,42,7
MLK Light Rail,autumn,2015,42,7
North St,autumn,2015,42,8
West Side Light Rail,autumn,2015,42,14
Garfield Ave Station,autumn,2015,42,15
NJCU,autumn,2015,42,19
Central Ave,autumn,2015,42,29
Heights Elevator,autumn,2015,42,41
5 Corners Library,autumn,2015,42,46
