year,week,sunHour,totalSnow_cm,FeelsLikeC,cloudcover,humidity,precipMM,tempC,windspeedKmph
2015,39,10.0,0.0,18.57,37.86,66.0,0.0,21.86,13.57
2015,40,8.57,0.0,14.86,69.29,82.14,4.73,18.14,22.43
2015,41,9.31,0.0,16.29,25.0,71.57,0.71,19.57,11.71
2015,42,8.7,0.0,12.29,17.0,65.57,0.07,16.29,15.71
2015,43,7.81,0.0,12.29,27.29,68.0,0.56,16.57,16.29
2015,44,7.56,0.0,12.0,32.86,72.29,3.9,15.57,16.57
2015,45,6.84,0.0,16.0,36.29,78.14,0.24,17.71,10.14
2015,46,5.9,0.0,8.86,51.86,75.29,1.5,13.0,19.14
2015,47,7.51,0.0,9.43,35.43,74.0,2.41,12.71,17.43
2015,48,7.73,0.0,6.14,26.71,71.14,0.0,10.29,12.43
2015,49,6.47,0.0,6.0,44.71,80.57,1.93,9.29,12.86
2015,50,6.44,0.0,9.14,54.14,82.14,0.03,12.43,9.29
2015,51,4.93,0.0,5.14,60.57,79.86,8.19,8.71,14.29
2015,52,4.91,0.0,11.0,72.14,87.0,2.77,13.71,14.71
2015,53,4.3,0.0,2.5,68.25,85.5,1.23,7.5,15.0
2016,1,6.71,0.09,-0.57,43.0,63.29,2.1,5.0,15.71
2016,2,5.97,0.23,-2.86,49.71,66.57,1.41,3.57,18.57
2016,3,7.03,0.13,-9.14,41.43,66.14,3.39,-0.86,25.43
2016,4,7.76,0.03,-1.71,29.71,85.57,0.39,3.86,13.57
2016,5,6.39,0.21,2.71,52.86,84.43,3.34,7.71,14.86
2016,6,5.57,0.24,-10.57,68.0,67.29,0.43,-2.29,21.29
2016,7,6.5,0.24,-0.71,49.14,75.43,2.17,5.57,17.14
2016,8,6.73,0.0,0.71,49.14,75.43,2.76,7.57,22.43
2016,9,7.84,0.24,-0.14,32.71,64.29,0.79,5.71,17.14
2016,10,8.73,0.0,10.57,33.71,76.43,0.56,15.14,12.57
2016,11,9.73,0.07,5.14,52.43,72.0,1.0,10.0,15.71
2016,12,12.21,0.11,5.71,31.29,72.43,0.59,11.71,17.0
