year,week,station,anzahl
2015,39,5 Corners Library,43
2015,39,Baldwin at Montgomery,66
2015,39,Bayside Park,16
2015,39,Brunswick St,186
2015,39,Central Ave,25
2015,39,Christ Hospital,68
2015,39,City Hall,238
2015,39,Columbia Park,8
2015,39,Dey St,55
2015,39,Essex Light Rail,218
2015,39,Exchange Place,363
2015,39,Garfield Ave Station,14
2015,39,Grove St PATH,472
2015,39,Hamilton Park,357
2015,39,Heights Elevator,52
2015,39,Hilltop,86
2015,39,JC Medical Center,152
2015,39,Liberty Light Rail,147
2015,39,Lincoln Park,64
2015,39,MLK Light Rail,4
2015,39,McGinley Square,110
2015,39,NJCU,17
2015,39,Newark Ave,245
2015,39,Newport PATH,265
2015,39,Newport Pkwy,252
2015,39,North St,49
2015,39,Oakland Ave,51
2015,39,Paulus Hook,222
2015,39,Pershing Field,90
2015,39,Riverview Park,75
2015,39,Sip Ave,252
2015,39,Union St,2
2015,39,Van Vorst Park,227
2015,39,Warren St,203
2015,39,West Side Light Rail,10
2015,40,5 Corners Library,33
2015,40,Baldwin at Montgomery,54
2015,40,Bayside Park,6
2015,40,Brunswick St,172
2015,40,Central Ave,26
2015,40,Christ Hospital,58
2015,40,City Hall,129
2015,40,Columbia Park,2
2015,40,Dey St,43
2015,40,Essex Light Rail,158
2015,40,Exchange Place,293
2015,40,Garfield Ave Station,17
2015,40,Grove St PATH,410
2015,40,Hamilton Park,310
2015,40,Heights Elevator,20
2015,40,Hilltop,43
2015,40,JC Medical Center,81
2015,40,Liberty Light Rail,55
2015,40,Lincoln Park,59
2015,40,MLK Light Rail,8
2015,40,McGinley Square,99
2015,40,NJCU,15
2015,40,Newark Ave,180
2015,40,Newport PATH,240
2015,40,Newport Pkwy,154
2015,40,North St,24
2015,40,Oakland Ave,74
2015,40,Paulus Hook,133
2015,40,Pershing Field,62
2015,40,Riverview Park,43
2015,40,Sip Ave,241
2015,40,Union St,1
2015,40,Van Vorst Park,143
2015,40,Warren St,181
2015,40,West Side Light Rail,20
2015,41,5 Corners Library,57
2015,41,Baldwin at Montgomery,84
2015,41,Bayside Park,6
2015,41,Brunswick St,233
2015,41,Central Ave,37
2015,41,Christ Hospital,78
2015,41,City Hall,196
2015,41,Columbia Park,6
2015,41,Dey St,66
2015,41,Essex Light Rail,273
2015,41,Exchange Place,407
2015,41,Garfield Ave Station,20
2015,41,Grove St PATH,546
2015,41,Hamilton Park,345
2015,41,Heights Elevator,36
2015,41,Hilltop,80
2015,41,JC Medical Center,115
2015,41,Liberty Light Rail,133
2015,41,Lincoln Park,75
2015,41,MLK Light Rail,2
2015,41,McGinley Square,138
2015,41,NJCU,18
2015,41,Newark Ave,249
2015,41,Newport PATH,365
2015,41,Newport Pkwy,223
2015,41,North St,14
2015,41,Oakland Ave,89
2015,41,Paulus Hook,225
2015,41,Pershing Field,87
2015,41,Riverview Park,68
2015,41,Sip Ave,316
2015,41,Union St,14
2015,41,Van Vorst Park,231
2015,41,Warren St,237
2015,41,West Side Light Rail,10
2015,42,5 Corners Library,46
2015,42,Baldwin at Montgomery,86
2015,42,Bayside Park,6
2015,42,Brunswick St,222
2015,42,Central Ave,29
2015,42,Christ Hospital,74
2015,42,City Hall,162
2015,42,Columbia Park,7
2015,42,Dey St,57
