stationname,2015,2016,2017,2018,2019,2020
City Hall,1978.0,7791.0,8422.0,8829.0,10186.0,8700.0
Exchange Place,4109.0,19014.0,19393.0,18970.0,5304.0,0.0
Hamilton Park,4116.0,15300.0,19810.0,20867.0,24106.0,13415.0
Sip Ave,3398.0,17137.0,15598.0,18184.0,19085.0,12174.0
Christ Hospital,861.0,2366.0,2393.0,2420.0,2432.0,1477.0
Baldwin at Montgomery,917.0,4529.0,3686.0,4069.0,4026.0,4289.0
Warren St,2236.0,8344.0,9206.0,9258.0,10020.0,8147.0
Newport PATH,3468.0,13363.0,12516.0,15247.0,17370.0,11548.0
Newark Ave,2551.0,9168.0,9031.0,9462.0,10604.0,7196.0
Brunswick St,2842.0,9573.0,7382.0,7383.0,8506.0,4737.0
Newport Pkwy,2323.0,9031.0,8610.0,10108.0,11173.0,17883.0
Bayside Park,82.0,345.0,182.0,34.0,0.0,0.0
Grove St PATH,5989.0,28736.0,35856.0,40931.0,46662.0,20572.0
Riverview Park,479.0,1774.0,1734.0,2075.0,2171.0,1774.0
Essex Light Rail,2746.0,9462.0,7914.0,6440.0,6244.0,3992.0
Paulus Hook,1933.0,7807.0,8036.0,8718.0,9108.0,7365.0
Columbia Park,63.0,192.0,256.0,14.0,0.0,0.0
Heights Elevator,375.0,1793.0,1945.0,2567.0,2673.0,2897.0
NJCU,183.0,519.0,416.0,49.0,0.0,0.0
MLK Light Rail,53.0,243.0,245.0,47.0,0.0,0.0
5 Corners Library,622.0,2729.0,2125.0,2026.0,2580.0,1587.0
Dey St,509.0,2191.0,1381.0,1168.0,1199.0,1509.0
Oakland Ave,917.0,3979.0,4677.0,5384.0,4739.0,2159.0
Hilltop,815.0,2593.0,2541.0,3076.0,2778.0,3057.0
Van Vorst Park,2508.0,8579.0,9035.0,9145.0,8684.0,6575.0
McGinley Square,1475.0,7274.0,5898.0,5629.0,7194.0,5162.0
Central Ave,524.0,2234.0,879.0,0.0,0.0,0.0
JC Medical Center,1272.0,4687.0,5433.0,5046.0,6795.0,9648.0
North St,217.0,1664.0,820.0,0.0,0.0,0.0
Lincoln Park,816.0,3184.0,2349.0,2574.0,3116.0,5016.0
Liberty Light Rail,1068.0,6578.0,6623.0,7091.0,8508.0,15650.0
West Side Light Rail,125.0,240.0,323.0,42.0,0.0,0.0
Pershing Field,1060.0,3313.0,2779.0,4426.0,4809.0,3053.0
Garfield Ave Station,191.0,924.0,1109.0,155.0,0.0,0.0
Union St,62.0,356.0,606.0,1015.0,1012.0,1514.0
Jersey & 6th St,0.0,3847.0,6866.0,8035.0,9006.0,4765.0
Morris Canal,0.0,5948.0,12251.0,10534.0,10063.0,8335.0
Jersey & 3rd,0.0,3395.0,7366.0,7973.0,9086.0,5433.0
Lafayette Park,0.0,835.0,2331.0,1913.0,2989.0,3199.0
Monmouth and 6th,0.0,3393.0,5236.0,5894.0,8175.0,4170.0
Dixon Mills,0.0,2738.0,5395.0,5757.0,6667.0,4300.0
Marin Light Rail,0.0,4163.0,7918.0,10371.0,14196.0,12210.0
Manila & 1st,0.0,1765.0,5074.0,6527.0,7377.0,4726.0
Columbus Drive,0.0,2770.0,7009.0,7157.0,8585.0,6546.0
Bethune Center,0.0,29.0,61.0,24.0,0.0,0.0
Leonard Gordon Park,0.0,558.0,1643.0,2685.0,2270.0,1075.0
Danforth Light Rail,0.0,60.0,238.0,19.0,0.0,0.0
Brunswick & 6th,0.0,859.0,6264.0,8251.0,9678.0,4878.0
Astor Place,0.0,177.0,2147.0,2898.0,3792.0,3182.0
JCBS Depot,0.0,1.0,7.0,53.0,43.0,1.0
Communipaw & Berry Lane,0.0,34.0,908.0,1404.0,1875.0,2036.0
York St,0.0,0.0,957.0,3301.0,3555.0,2975.0
Harborside,0.0,0.0,2076.0,12105.0,17877.0,11712.0
Washington St,0.0,0.0,1306.0,7344.0,9824.0,7904.0
Journal Square,0.0,0.0,666.0,5819.0,7684.0,2710.0
Montgomery St,0.0,0.0,0.0,2624.0,4364.0,3564.0
Glenwood Ave,0.0,0.0,0.0,1159.0,2238.0,1745.0
Fairmount Ave,0.0,0.0,0.0,2532.0,3443.0,2869.0
Bergen Ave,0.0,0.0,0.0,2416.0,3242.0,3224.0
Grand St,0.0,0.0,0.0,4252.0,6242.0,4516.0
Jackson Square,0.0,0.0,0.0,396.0,1002.0,1342.0
Hoboken Ave at Monmouth St,0.0,0.0,0.0,0.0,1563.0,3694.0
Columbus Dr at Exchange Pl,0.0,0.0,0.0,0.0,9027.0,11626.0
